# gaia_filtered
930.000000	221.825545	-244.556742	13.281000	5309183145338379264.000000	13.010625	12.567144	0.713828	146.178484	-54.178594
1546.000000	188.507582	-127.664804	17.366700	5309186203355104256.000000	16.818321	16.126740	1.239952	146.161735	-54.145951
2530.000000	181.849872	167.201092	17.294800	5309188127500492800.000000	16.623201	15.803530	1.491293	146.156768	-54.063330
2404.000000	168.422027	-30.720218	15.584000	5309187886982295552.000000	15.270689	14.785785	0.798265	146.151494	-54.118850
2453.000000	167.661156	74.184393	13.582400	5309187990061394944.000000	13.324804	12.898967	0.683463	146.150505	-54.089450
1680.000000	95.064115	-41.735335	13.094000	5309186443873146880.000000	12.819293	12.374661	0.719320	146.116280	-54.122190
2763.000000	93.777906	85.168676	17.287600	5309188711615893504.000000	16.698578	15.970984	1.316610	146.114938	-54.086626
2760.000000	88.623975	55.256224	15.675900	5309188711615889408.000000	15.355025	14.852729	0.823204	146.112632	-54.095027
1679.000000	74.194744	-37.524013	14.594800	5309186443873144832.000000	14.316839	13.864010	0.730834	146.106219	-54.121080
2788.000000	60.502318	94.139543	14.632400	5309188780335368192.000000	14.359494	13.914055	0.718347	146.098899	-54.084222
1674.000000	57.943943	-53.313592	15.728400	5309186443873139712.000000	15.327348	14.733037	0.995393	146.098492	-54.125559
1617.000000	53.616844	-60.730689	14.394900	5309186340793922560.000000	14.115736	13.665451	0.729436	146.096452	-54.127652
1616.000000	48.813444	-67.990062	17.361500	5309186340793920512.000000	16.851595	16.151215	1.210264	146.094182	-54.129703
2068.000000	46.158908	12.157706	15.248400	5309187199787393024.000000	14.878457	14.327284	0.921156	146.092461	-54.107247
2072.000000	43.290709	26.823514	14.388000	5309187199787394048.000000	14.139480	13.723381	0.664573	146.091001	-54.103146
2066.000000	40.241072	9.075935	15.041000	5309187199787390976.000000	14.725964	14.237268	0.803700	146.089633	-54.108131
2105.000000	17.794435	10.255144	13.171800	5309187268506863616.000000	12.923157	12.506818	0.664936	146.078835	-54.107873
2228.000000	13.169472	115.003638	13.909600	5309187509025045504.000000	13.680735	13.242643	0.666958	146.076043	-54.078528
1974.000000	8.120859	-130.529908	13.449500	5309187062348419072.000000	12.633490	11.745643	1.703875	146.074948	-54.147364
1998.000000	5.471827	-35.729982	16.072900	5309187096708163584.000000	15.624259	15.001414	1.071523	146.073160	-54.120801
1785.000000	-7.626306	-134.918265	17.550300	5309186684391294976.000000	17.010309	16.296200	1.254120	146.067393	-54.148644
2103.000000	-17.301987	38.015995	14.063400	5309187268506863616.000000	13.825231	13.427300	0.636115	146.061814	-54.100204
2025.000000	-27.631051	-80.633795	16.124200	5309187131068022784.000000	15.751020	15.194326	0.929907	146.057478	-54.133492
2208.000000	-48.835298	73.943053	14.175300	5309187474665294848.000000	13.782266	13.185123	0.990225	146.046468	-54.090232
2182.000000	-70.259562	63.214893	13.866400	5309187435993764864.000000	13.584873	13.122656	0.743735	146.036228	-54.093305
361.000000	-88.795809	179.611616	15.701500	5309199294416520192.000000	15.368825	14.856607	0.844881	146.026726	-54.060737
1956.000000	-125.267364	-3.106767	15.625500	5309187027988680704.000000	15.280733	14.757297	0.868251	146.010122	-54.112059
1926.000000	-168.796234	-59.134878	17.038700	5309186989314055168.000000	16.543402	15.853182	1.185509	145.989464	-54.127890
320.000000	-176.917304	120.503979	16.615800	5309199225697033216.000000	16.168411	15.540844	1.074966	145.984693	-54.077562
201.000000	-271.337933	69.946759	16.084800	5309199019538641920.000000	15.508991	14.760092	1.324726	145.939559	-54.091993
2303.000000	259.287151	-48.685289	16.446400	5309187646464135168.000000	16.032755	15.446282	1.000150	146.195301	-54.123559
1505.000000	218.300531	-184.655266	16.174100	5309186100276011008.000000	15.795427	15.231200	0.942912	146.176420	-54.161818
870.000000	208.501150	-302.545534	16.144500	5309183007899417600.000000	15.778965	15.235445	0.909079	146.172421	-54.194895
1486.000000	149.012177	-194.970027	16.104400	5309186065916138496.000000	15.647595	14.997397	1.107038	146.143127	-54.164954
1536.000000	149.374231	-110.663542	16.070900	5309186168995363840.000000	15.696127	15.146236	0.924713	146.142804	-54.141324
1627.000000	138.979647	-93.675417	17.666000	5309186370838753280.000000	17.093630	16.382172	1.283817	146.137704	-54.136598
1488.000000	130.297538	-166.963350	16.901400	5309186065916139520.000000	16.304861	15.555890	1.345473	146.133954	-54.157169
1271.000000	121.885005	-320.588846	15.579000	5309185584879781888.000000	15.246990	14.713078	0.865918	146.130797	-54.200257
2764.000000	115.062354	77.675736	17.623400	5309188711615895552.000000	17.075012	16.368992	1.254417	146.125209	-54.088654
1699.000000	92.507436	-23.568694	16.170000	5309186478233012224.000000	15.801229	15.249063	0.920888	146.114947	-54.117107
1298.000000	88.052854	-296.079817	14.346500	5309185653599257600.000000	14.056598	13.590191	0.756290	146.114355	-54.193502
2088.000000	83.440061	26.272411	18.033700	5309187234147137536.000000	17.482903	16.785862	1.247854	146.110304	-54.103168
1571.000000	69.539185	-139.373248	15.071800	5309186237714828288.000000	14.799918	14.357810	0.713971	146.104553	-54.149642
1678.000000	66.800320	-34.771020	14.610300	5309186443873143808.000000	14.343030	13.909145	0.701152	146.102648	-54.120333
2067.000000	66.356776	-7.188019	16.315700	5309187199787392000.000000	15.846166	15.201083	1.114602	146.102280	-54.112603
2074.000000	54.093093	12.027902	14.917900	5309187199787593728.000000	14.664685	14.241293	0.676619	146.096276	-54.107258
2073.000000	53.315217	-3.354114	15.641400	5309187199787515904.000000	15.324686	14.835390	0.806045	146.095988	-54.111572
