id	x	y	u	SOURCE_ID	phot_g_mean_mag	phot_bp_mean_mag	phot_rp_mean_mag	bp_rp	ra	dec	parallax
1	326.2447	-70.91688	18.364	5309184794605856128	15.28581428527832	15.687677383422852	14.667128562927246	1.0205488204956057	146.23009016888645	-54.13216041950236	1.0018554091013117
2	321.98355	-61.43959	19.088	5309184794605857152	15.97357940673828	16.374555587768555	15.366052627563477	1.008502960205078	146.2279866330102	-54.12953499731425	0.7070042702734384
3	315.18718	-3.60887	20.435	5309184794605864064	17.11199188232422	17.61870574951172	16.450227737426758	1.168478012084961	146.2243513393994	-54.11335692021742	0.4524763866554703
4	311.31401	-79.957	20.318	5309184691532492288	16.757858276367188	17.302940368652344	16.06194305419922	1.240997314453125	146.22294543082006	-54.13476206844895	0.1653088886907915
5	309.14436	-7.41224	16.459	5309187749543362560	13.97176456451416	14.198248863220217	13.595832824707031	0.6024160385131836	146.2214645258978	-54.11444399175118	0.5441663211585931
6	289.11062	74.99616	20.346	5309187852622625408	16.79417610168457	17.40637969970703	16.045026779174805	1.3613529205322266	146.21130301799946	-54.09140969693275	0.4262096911058514
7	284.56421	15.82072	18.068	5309187749543362688	15.317102432250977	15.671655654907228	14.788599967956545	0.8830556869506836	146.20949960531647	-54.10803043850831	0.5731745926647203
8	278.34561	-172.52009	20.348	5309183179698132480	17.229618072509766	17.743867874145508	16.554624557495117	1.1892433166503906	146.20770861876903	-54.160803938208055	0.3029774545015642
9	273.02067	-191.3743	20.587	5309183110978775040	17.087499618530273	17.717620849609375	16.336833953857422	1.3807868957519531	146.20522210647695	-54.16614437991489	0.3276677409250148
10	266.22995	-87.7537	18.348	5309187612104392832	15.569655418395996	15.865196228027344	15.101337432861328	0.7638587951660156	146.20134816509773	-54.13710319492643	0.2532302404779442
11	266.71323	52.89778	16.444	5309187818262886784	14.094029426574709	14.350969314575195	13.654890060424805	0.6960792541503906	146.20069235371392	-54.09770074223326	0.2005205977298117
12	261.50653	-27.2652	20.308	5309187646464138368	17.00800895690918	17.536399841308594	16.324874877929688	1.2115249633789062	146.19869661203776	-54.12017942301325	0.3385085396254962
13	258.71575	5.85974	20.318	5309187813947818496	17.146493911743164	17.621240615844727	16.514949798583984	1.1062908172607422	146.19716436695523	-54.11090865609648	0.4790021910147871
14	251.85398	-96.15275	19.659	5309187612104390016	16.41994857788086	16.8747501373291	15.80635929107666	1.0683908462524414	146.19449356679294	-54.13951481329568	0.6817323750099642
15	240.13627	-196.35766	19.103	5309183145338387200	16.15333366394043	16.56405258178711	15.573554039001465	0.9904985427856444	146.18948103342677	-54.16763828258408	0.4477454332520352
16	239.27159	0.38418	20.503	5309187715183615488	17.030776977539062	17.619836807250977	16.289812088012695	1.3300247192382812	146.18785616497945	-54.11252073398854	0.3534227990259647
17	234.78398	-129.13696	20.183	5309186134635633024	16.842632293701172	17.37129020690918	16.107954025268555	1.263336181640625	146.18650075772794	-54.14882516256082	0.2891618926996647
18	231.91872	-154.90853	19.056	5309186130320542976	15.937766075134276	16.408475875854492	15.29895305633545	1.109522819519043	146.18527213925637	-54.15605384611825	0.3755739937207272
19	228.29694	-276.11529	18.125	5309182973545557376	15.130962371826172	15.503812789916992	14.581161499023438	0.9226512908935548	146.18423967000368	-54.19002506742427	0.7799125572142375
20	220.27424	25.03747	18.793	5309187715183617280	15.910744667053224	15.904831886291504	14.753774642944336	1.151057243347168	146.1784580155723	-54.105687345825366	0.4271628107155094
