id	x	y	SOURCE_ID	phot_g_mean_mag	phot_bp_mean_mag	phot_rp_mean_mag	bp_rp	ra	dec
930	216.7822873	-235.1155897	5309183145338379648	13.010624885559082	13.280972480773926	12.567144393920898	0.7138280868530273	146.17848436657496	-54.17859406173073
1546	183.4603764	-118.2248004	5309186203355103872	16.818321228027344	17.36669158935547	16.126739501953125	1.2399520874023438	146.16173541600176	-54.14595112397338
2530	176.792695	176.6408721	5309188127500492416	16.623201370239258	17.294822692871094	15.803529739379885	1.491292953491211	146.15676779176457	-54.06332963555583
2404	163.371554	-21.2808969	5309187886982295936	15.270689010620115	15.584049224853516	14.785784721374512	0.7982645034790039	146.15149378010742	-54.118850400011766
2453	162.6071347	83.6236844	5309187990061394560	13.324804306030272	13.582429885864258	12.898966789245604	0.6834630966186523	146.15050518381275	-54.08945033664801
1680	90.0140194	-32.2985019	5309186443873146496	12.819293022155762	13.093981742858888	12.374661445617676	0.7193202972412109	146.11627968054222	-54.122190173128295
2763	88.7235097	94.6054685	5309188711615893632	16.698577880859375	17.287593841552734	15.970983505249023	1.316610336303711	146.11493827747316	-54.08662553902739
2760	83.570588	64.6928481	5309188711615889792	15.355025291442873	15.675932884216309	14.852728843688965	0.8232040405273438	146.11263150046335	-54.09502679861114
1679	69.1445023	-28.0878873	5309186443873144576	14.316839218139648	14.594843864440918	13.864009857177734	0.7308340072631836	146.10621928320612	-54.121079744390144
2788	55.4476113	103.5752054	5309188780335368448	14.35949420928955	14.632401466369627	13.914054870605469	0.7183465957641602	146.09889874603354	-54.084222090565206
1674	52.8942305	-43.8780043	5309186443873139840	15.327347755432127	15.728429794311523	14.733036994934082	0.9953927993774414	146.09849219926815	-54.125559173839264
1617	48.5673871	-51.2952621	5309186340793922944	14.11573600769043	14.39488697052002	13.665451049804688	0.729435920715332	146.0964523304491	-54.12765232688069
1616	43.7642234	-58.5547962	5309186340793920512	16.851594924926758	17.361478805541992	16.151214599609375	1.2102642059326172	146.09418226621705	-54.12970279907314
2068	41.1069906	21.592894	5309187199787392640	14.878457069396973	15.24843978881836	14.32728385925293	0.9211559295654296	146.0924609857354	-54.10724740638907
2072	38.2382856	36.2585991	5309187199787394304	14.139479637145996	14.387953758239746	13.723381042480469	0.6645727157592773	146.0910009496425	-54.103146210027184
2066	35.1892517	18.5109145	5309187199787390720	14.725963592529297	15.040968894958496	14.237268447875977	0.8037004470825195	146.0896329724539	-54.10813053197188
2105	12.7425763	19.689356	5309187268506864128	12.92315673828125	13.171753883361816	12.506817817687988	0.6649360656738281	146.0788349482766	-54.10787281987984
2228	8.1140634	124.4377023	5309187509025045888	13.680734634399414	13.909601211547852	13.242643356323242	0.6669578552246094	146.07604254447705	-54.07852834707849
1974	3.0737631	-121.0960055	5309187062348418560	12.633489608764648	13.449517250061035	11.74564266204834	1.703874588012695	146.074947798412	-54.14736373705899
1998	0.4215288	-26.2961819	5309187096708164096	15.624258995056152	16.07293701171875	15.00141429901123	1.0715227127075195	146.0731595278715	-54.120801288272105
1785	-12.6732595	-125.4848966	5309186684391295232	17.01030921936035	17.55031967163086	16.296199798583984	1.254119873046875	146.06739349695948	-54.14864397803045
2103	-22.3547911	47.449025	5309187268506863616	13.825230598449709	14.06341552734375	13.427300453186035	0.6361150741577148	146.06181371627451	-54.10020376345145
2025	-32.6798353	-71.2011158	5309187131068022400	15.751020431518556	16.12423324584961	15.194326400756836	0.9299068450927734	146.0574781553642	-54.13349200931407
2208	-53.8893225	83.3750218	5309187474665294592	13.782265663146973	14.175348281860352	13.185123443603516	0.990224838256836	146.04646846894337	-54.09023242912893
2182	-75.3132187	72.6461391	5309187435993764736	13.58487319946289	13.8663911819458	13.122655868530272	0.7437353134155273	146.03622812730387	-54.09330520419454
361	-93.8534069	189.0422353	5309199294416519808	15.36882495880127	15.701488494873049	14.856607437133787	0.8448810577392578	146.02672649906083	-54.06073704360356
1956	-130.3187725	6.3226204	5309187027988680448	15.280733108520508	15.625547409057615	14.757296562194824	0.868250846862793	146.01012190366276	-54.11205929228674
1926	-173.8457465	-49.7069709	5309186989314055424	16.54340171813965	17.0386905670166	15.853181838989258	1.1855087280273438	145.98946393704082	-54.12788979655825
320	-181.9729039	129.93162	5309199225697033472	16.168411254882812	16.61581039428711	15.540843963623049	1.0749664306640625	145.98469258867968	-54.07756238861676
201	-276.391825	79.3711968	5309199019538641536	15.508991241455078	16.08481788635254	14.760091781616213	1.324726104736328	145.93955862514628	-54.09199330897399
2303	254.2372781	-39.2428896	5309187646464135296	16.03275489807129	16.44643211364746	15.446282386779783	1.0001497268676758	146.19530116449562	-54.12355864602991
1505	213.2552495	-175.2142487	5309186100276010752	15.795427322387695	16.17411231994629	15.231200218200684	0.9429121017456056	146.17642020708047	-54.16181767976992
870	203.4598587	-293.1048378	5309183007899417600	15.77896499633789	16.14452362060547	15.235445022583008	0.9090785980224608	146.172420966323	-54.19489516316125
1486	143.967246	-185.5313491	5309186065916138496	15.647595405578612	16.104434967041016	14.997397422790527	1.1070375442504885	146.14312663810827	-54.16495429580922
1536	144.3264556	-101.2248618	5309186168995364096	15.696126937866213	16.07094955444336	15.146236419677734	0.924713134765625	146.14280433972883	-54.141323537265
1627	133.9313033	-84.2370953	5309186370838753280	17.093629837036133	17.66598892211914	16.382171630859375	1.2838172912597656	146.13770359475134	-54.13659811917589
1488	125.2516681	-157.5253125	5309186065916139648	16.304861068725586	16.901363372802734	15.555890083312988	1.345473289489746	146.1339537104314	-54.1571693044158
