 1    326.24470    -70.91688 18.364
 2    321.98355    -61.43959 19.088
 3    315.18718     -3.60887 20.435
 4    311.31401    -79.95700 20.318
 5    309.14436     -7.41224 16.459
 6    289.11062     74.99616 20.346
 7    284.56421     15.82072 18.068
 8    278.34561   -172.52009 20.348
 9    273.02067   -191.37430 20.587
 10    266.22995    -87.75370 18.348
 11    266.71323     52.89778 16.444
 12    261.50653    -27.26520 20.308
 13    258.71575      5.85974 20.318
 14    251.85398    -96.15275 19.659
 15    240.13627   -196.35766 19.103
 16    239.27159      0.38418 20.503
 17    234.78398   -129.13696 20.183
 18    231.91872   -154.90853 19.056
 19    228.29694   -276.11529 18.125
 20    220.27424     25.03747 18.793
 21    216.83530   -235.16602 15.713
 22    216.28250     23.06330 18.531
 23    206.91893    -32.75951 16.783
 24    202.20180   -104.21315 18.279
 25    202.56288     37.55457 20.171
 26    191.70330   -151.25135 20.123
 27    187.11350    122.49885 19.26
 28    183.91386    -91.66144 17.758
 29    183.45940   -118.22892 20.177
 30    178.26258   -285.08297 18.999
 31    175.97050   -192.84801 17.574
 32    175.00036   -247.27899 19.509
 33    174.93713   -103.63866 20.361
 34    176.82940    176.72746 20.471
 35    172.55702   -155.94396 19.002
 36    170.40092   -124.29743 19.136
 37    168.58238   -259.40361 16.714
 38    171.70775    132.12936 20.71
 39    165.57459     48.50819 19.085
 40    164.85057      4.55295 18.884
 41    163.34511    -21.29342 18.245
 42    162.59435     83.64750 15.901
 43    161.21723     98.80501 19.68
 44    157.19394     67.99327 19.276
 45    157.36910    154.10518 20.461
 46    155.22696     23.89529 20.23
 47    152.75652   -162.58235 18.215
 48    153.47252    123.94120 16.387
 49    149.78837   -179.64336 19.296
 50    149.79422     99.32090 20.04
 51    138.88579   -141.04075 16.803
 52    135.07573   -343.86167 20.35
 53    138.15574     72.44010 20.708
 54    137.28152     -5.78715 18.608
 55    133.53537   -300.80414 20.033
 56    129.62753   -290.28866 14.913
 57    127.60799    -66.07860 20.144
 58    126.21015   -197.40554 15.29
 59    125.29397   -108.98867 18.912
 60    124.42041     31.95215 15.061
 61    119.30328     46.53633 19.3
 62    113.10352   -279.07915 19.061
 63    114.63657     99.17202 19.278
 64    110.33772   -259.63704 20.406
 65    111.22197    220.89073 20.485
 66    103.58168    174.06016 18.909
 67     91.70140   -215.52432 19.624
 68     93.84729    215.32263 20.245
 69     90.92450     65.74432 15.009
 70     89.97873    -32.28314 15.537
 71     88.66165     94.58169 20.092
 72     85.16759    225.08384 19.723
 73     80.94832   -228.08210 20.249
 74     83.53510     64.66864 18.374
 75     81.63181    135.84172 18.134
 76     78.85257   -127.24488 16.281
 77     76.95310     -8.37184 20.433
 78     73.63324    105.60586 17.638
 79     73.72169    242.11795 20.443
 80     70.17954     -9.08850 17.845
 81     69.11572    -28.09601 17.13
 82     61.46605    -58.04467 20.538
 83     54.35748   -347.19426 20.251
 84     54.90367   -178.93016 16.814
 85     57.31889    183.33706 18.013
 86     55.40894    103.56173 17.138
 87     53.40576     -6.45356 19.147
 88     52.86499    -43.85737 18.47
 89     54.49404    142.51409 19.639
 90     49.85994     53.99168 17.969
 91     48.51693    -51.27189 16.903
 92     49.48323    127.53982 20.229
 93     43.72639    -58.54241 20.088
 94     41.06959     21.59435 17.969
 95     41.52571    219.99032 17.494
 96     38.91350      8.49093 19.876
 97     38.20311     36.24711 16.813
 98     35.63699    -14.90826 19.165
 99     35.15957     18.49986 17.714
 100     35.95160    240.43979 20.026
 101     30.13941   -177.19509 18.827
 102     25.73429   -299.91844 19.983
 103     26.54613    120.74166 17.312
