 1   -250.79189    -95.77836 18.06758117675781
 2   -246.31148   -102.24364 18.2331600189209
 3   -236.11042    -96.22763 18.692367553710938
 4   -246.40717    -85.73092 18.96637535095215
 5   -261.90021    -82.34015 17.85721778869629
 6   -250.82764   -106.75357 17.820459365844727
 7   -244.41308   -106.52362 18.553714752197266
 8   -247.74631   -100.27360 18.90283966064453
 9   -258.15449   -101.83474 18.294313430786133
 10   -280.80324    -71.81887 17.95143699645996
 11   -295.55640     -7.10620 18.60606002807617
 12   -253.28159    -70.36135 15.335710525512695
 13   -230.05843    -87.97674 17.613073348999023
 14   -255.84689    -60.87117 17.359758377075195
 15   -270.15590    -88.09070 18.90279197692871
 16   -219.94782    -67.00246 18.621944427490234
 17   -242.51920    -57.91774 17.172582626342773
 18   -214.82316    -45.86751 17.83765411376953
 19   -220.16786    -36.96883 16.691747665405273
 20   -232.27114    -38.33397 18.19922637939453
 21   -215.58804    -32.95970 18.5051383972168
 22   -239.34774    -29.46217 17.176855087280273
 23   -245.54828    -19.57407 18.71862030029297
 24   -228.52357    -38.62521 18.30595970153809
 25   -230.06632    -83.16099 18.808443069458008
 26   -254.72881    -50.94099 17.507953643798828
 27   -248.59292    -38.26946 17.029821395874023
 28   -228.60102    -42.20785 17.757003784179688
 29   -311.69073    -52.75975 18.49539566040039
 30   -293.46773    -71.24539 18.72970962524414
 31   -324.35360    -46.73766 18.06717109680176
 32   -274.40639    -38.86014 17.54298210144043
 33   -293.14946    -21.96437 17.690649032592773
 34   -313.57861    -19.86692 18.92913818359375
 35   -299.53591    -16.18449 18.024646759033203
 36   -277.08944    -52.25540 17.96665382385254
 37   -308.08351    -59.04815 18.369287490844727
 38   -308.96787    -51.76410 18.29759979248047
 39   -292.42307    -30.49063 17.18926429748535
 40   -289.44772    -30.80501 18.253625869750977
 41   -297.38356    -76.65628 18.123313903808597
 42   -306.16113    -58.28938 16.454410552978516
 43   -296.34242    -40.99444 16.38387107849121
 44   -305.10569    -29.41362 17.64583969116211
 45   -273.66980    -53.54735 15.207834243774414
 46   -272.16242    -39.59214 18.580324172973636
 47   -273.52690    -49.98211 16.555927276611328
 48   -273.67740    -34.06769 17.9652156829834
 49   -259.61284     -6.50060 17.59840965270996
 50   -259.43700    -13.25169 17.729185104370117
 51   -253.93843     -0.75331 17.885623931884766
 52   -261.87876     20.34299 17.9493350982666
 53   -266.60280     20.95547 18.405712127685547
 54   -279.77450     39.65451 18.09971809387207
 55   -290.14417     19.79951 16.048046112060547
