 1    331.29351    -80.36172 18.364
 2    327.03268    -70.88428 19.088
 3    320.23827    -13.05333 20.435
 4    316.36252    -89.40133 20.318
 5    314.19532    -16.85650 16.459
 6    294.16436     65.55258 20.346
 7    289.61595      6.37730 18.068
 8    283.39098   -181.96331 20.348
 9    278.06541   -200.81734 20.587
 10    271.27819    -97.19651 18.348
 11    271.76622     43.45496 16.444
 12    266.55681    -36.70784 20.308
 13    263.76715     -3.58280 20.318
 14    256.90194   -105.59507 19.659
 15    245.18083   -205.79959 19.103
 16    244.32280     -9.05771 20.503
 17    239.83082   -138.57870 20.183
 18    236.96468   -164.35018 19.056
 19    233.33881   -285.55683 18.125
 20    225.32629     15.59622 18.793
 21    221.87855   -244.60717 15.713
 22    221.33448     13.62219 18.531
 23    211.96902    -42.20030 16.783
 24    207.24948   -113.65379 18.279
 25    207.61535     28.11393 20.171
 26    196.74939   -160.69164 20.123
 27    192.16884    113.05873 19.26
 28    188.96196   -101.10146 17.758
 29    188.50660   -127.66893 20.177
 30    183.30414   -294.52281 18.999
 31    181.01518   -202.28777 17.574
 32    180.04320   -256.71872 19.509
 33    179.98483   -113.07837 20.361
 34    181.88658    167.28769 20.471
 35    177.60295   -165.38360 19.002
 36    175.44791   -133.73699 19.136
 37    173.62481   -268.84313 16.714
 38    176.76341    122.68976 20.71
 39    170.62743     39.06880 19.085
 40    169.90192     -4.88642 18.884
 41    168.39559    -30.73274 18.245
 42    167.64837     74.20821 15.901
 43    166.27176     89.36576 19.68
 44    162.24744     58.55416 19.276
 45    162.42551    144.66606 20.461
 46    160.27896     14.45624 20.23
 47    157.80222   -172.02132 18.215
 48    158.52791    114.50221 16.387
 49    154.83349   -189.08223 19.296
 50    154.84877     89.88204 20.04
 51    143.93221   -150.47924 16.803
 52    140.11530   -353.30006 20.35
 53    143.20939     63.00163 20.708
 54    142.33252    -15.22559 18.608
 55    138.57639   -310.24248 20.033
 56    134.66891   -299.72686 14.913
 57    132.65695    -75.51671 20.144
 58    131.25467   -206.84361 15.29
 59    130.34148   -118.42670 18.912
 60    129.47269     22.51415 15.061
 61    124.35605     37.09851 19.3
 62    118.14528   -288.51679 19.061
 63    119.69112     89.73435 19.278
 64    115.38014   -269.07458 20.406
 65    116.28063    211.45317 20.485
 66    108.63877    164.62286 18.909
 67     96.74530   -224.96122 19.624
 68     98.90577    205.88566 20.245
 69     95.97792     56.30745 15.009
 70     95.02883    -41.71997 15.537
 71     93.71605     85.14490 20.092
 72     90.22640    215.64716 19.723
 73     85.99180   -237.51864 20.249
 74     88.58848     55.23202 18.374
 75     86.68760    126.40517 18.134
 76     83.89946   -136.68134 16.281
 77     82.00402    -17.80824 20.433
 78     78.68801     96.16958 17.638
 79     78.78108    232.68165 20.443
 80     75.23043    -18.52467 17.845
 81     74.16597    -37.53214 17.13
 82     66.51528    -67.48054 20.538
 83     59.39693   -356.62992 20.251
 84     59.94881   -188.36582 16.814
 85     62.37629    173.90132 18.013
 86     60.46364     94.12607 17.138
 87     58.45673    -15.88915 19.147
 88     57.91470    -53.29295 18.47
 89     59.55005    133.07845 19.639
 90     54.91296     44.55620 17.969
 91     53.56639    -60.70732 16.903
 92     54.53874    118.10436 20.229
 93     48.77560    -67.97768 20.088
 94     46.12152     12.15917 17.969
 95     46.58435    210.55511 17.494
 96     43.96499     -0.94418 19.876
 97     43.25553     26.81203 16.813
 98     40.68768    -24.34325 19.165
 99     40.21139      9.06488 17.714
 100     41.01093    231.00477 20.026
 101     35.18461   -186.62991 18.827
 102     30.77533   -309.35312 19.983
 103     31.60141    111.30696 17.312
 104     29.42249   -121.54062 19.208
 105     28.74467    191.33559 19.72
 106     26.33066    -77.51203 18.338
 107     23.10930   -176.72754 20.434
 108     19.23777   -123.95096 20.637
 109     16.05198   -337.21487 15.835
 110     16.61786   -171.75867 20.002
 111     17.75668     10.25724 15.567
 112     14.26812   -276.26655 20.218
 113     12.71818   -173.37829 18.641
 114     13.16516    114.98173 16.259
 115      8.08326   -130.50194 17.468
 116      5.80372   -192.63787 20.579
 117      5.43007    -35.71380 18.831
 118      7.46864    228.05820 20.196
 119      5.86166    210.09425 17.914
 120      2.03128   -184.75377 20.221
 121      1.97115     49.82228 16.391
 122     -2.85968   -124.88575 16.362
 123     -7.66660   -134.85792 20.43
 124    -10.64690    -30.09808 20.218
 125    -17.32197     38.01329 16.459
 126    -18.30751    156.81321 16.986
 127    -22.24656    -60.87936 19.987
 128    -27.66413    -80.60827 18.895
 129    -33.09999   -201.49745 18.559
 130    -34.39833   -328.50596 19.718
 131    -47.24490    -55.80919 19.946
 132    -48.82727     73.93432 16.429
 133    -49.05175    178.91029 19.96
 134    -50.59674     61.98173 19.922
 135    -53.62495     28.93266 19.659
 136    -54.62632    169.94435 17.32
 137    -57.84084   -148.47696 15.894
 138    -60.16875   -178.64590 19.906
 139    -63.97399     44.37259 20.334
 140    -63.79825    226.10078 17.8
 141    -70.20179   -267.93041 20.441
 142    -71.24329   -204.39081 17.484
 143    -70.25227     63.19777 16.394
 144    -72.71944   -115.97545 19.699
 145    -76.65777    -43.32940 20.257
 146    -78.71357    134.68959 15.367
 147    -79.74835     55.23700 20.324
 148    -80.59764     64.23655 17.677
 149    -82.44376     81.22755 20.463
 150    -85.07997   -109.24999 20.227
 151    -83.89021    175.43880 20.392
 152    -87.24946    -41.42722 20.331
 153    -88.87624   -179.09226 16.506
 154    -92.52704   -273.84663 17.659
 155    -91.56366   -161.88587 20.546
 156    -88.79430    179.57597 18.398
 157    -92.79722    127.12150 19.438
 158    -97.41723   -333.21390 18.781
 159    -99.40101   -200.12294 18.076
 160    -98.25866    177.87805 18.383
 161   -111.15078    126.46097 20.581
 162   -114.95668   -169.42609 19.417
 163   -116.12814   -235.01910 20.548
 164   -117.10108   -203.44781 17.856
 165   -117.83227   -264.82849 18.084
 166   -114.10253    175.02280 20.206
 167   -118.53210   -258.96104 19.53
 168   -118.99417    215.55504 20.19
 169   -122.33700    -63.33988 19.563
 170   -125.25632     -3.11427 18.338
 171   -126.45420   -108.52335 14.41
 172   -125.19658    101.82585 20.401
 173   -131.42616   -209.50777 18.288
 174   -128.78437    123.81882 20.677
 175   -144.94222   -114.48018 20.37
 176   -145.22044     41.47167 18.762
 177   -146.48979      1.33040 19.553
 178   -159.94128   -108.51951 19.548
 179   -161.84104   -242.69379 18.968
 180   -168.74850    -59.13717 19.822
 181   -171.78719    143.57559 20.551
 182   -176.70340     31.86172 15.312
 183   -176.87164    120.45763 19.396
 184   -191.61939    -88.57684 20.236
 185   -203.46261     74.63171 19.763
 186   -205.74847    -89.67567 19.709
 187   -218.62566   -110.17803 19.062
 188   -230.11755    -42.29919 20.626
 189   -245.68863   -182.18436 19.205
 190   -246.18101      1.30725 17.632
 191   -246.00590     48.71964 19.068
 192   -248.63696   -145.75715 19.553
 193   -249.21214     34.60229 17.868
 194   -254.98659    -57.17166 18.291
 195   -259.22910    -19.34289 16.267
 196   -263.65688     50.48952 20.528
