 1   -255.84016    -86.35323 18.06758117675781
 2   -251.35953    -92.81836 18.2331600189209
 3   -241.15868    -86.80200 18.692367553710938
 4   -251.45579    -76.30564 18.96637535095215
 5   -266.94895    -72.91540 17.85721778869629
 6   -255.87554    -97.32844 17.820459365844727
 7   -249.46099    -97.09827 18.553714752197266
 8   -252.79444    -90.84837 18.90283966064453
 9   -263.20256    -92.40986 18.294313430786133
 10   -285.85233    -62.39476 17.95143699645996
 11   -300.60768      2.31741 18.60606002807617
 12   -258.33073    -60.93631 15.335710525512695
 13   -235.10697    -78.55091 17.613073348999023
 14   -260.89634    -51.44622 17.359758377075195
 15   -275.20444    -78.66623 18.90279197692871
 16   -224.99707    -57.57628 18.621944427490234
 17   -247.56876    -48.49233 17.172582626342773
 18   -219.87312    -36.44116 17.83765411376953
 19   -225.21813    -27.54266 16.691747665405273
 20   -237.32136    -28.90822 18.19922637939453
 21   -220.63844    -23.53338 18.5051383972168
 22   -244.39827    -20.03665 17.176855087280273
 23   -250.59914    -10.14876 18.71862030029297
 24   -233.57378    -29.19933 18.30595970153809
 25   -235.11502    -73.73516 18.808443069458008
 26   -259.77861    -41.51600 17.507953643798828
 27   -253.64315    -28.84425 17.029821395874023
 28   -233.65111    -32.78197 17.757003784179688
 29   -316.74047    -43.33668 18.49539566040039
 30   -298.51684    -61.82170 18.72970962524414
 31   -329.40354    -37.31502 18.06717109680176
 32   -279.45659    -29.43581 17.54298210144043
 33   -298.20024    -12.54067 17.690649032592773
 34   -318.62946    -10.44391 18.92913818359375
 35   -304.58689     -6.76101 18.024646759033203
 36   -282.13919    -42.83116 17.96665382385254
 37   -313.13303    -49.62496 18.369287490844727
 38   -314.01764    -42.34094 18.29759979248047
 39   -297.47356    -21.06691 17.18926429748535
 40   -294.49820    -21.38119 18.253625869750977
 41   -302.43249    -67.23273 18.123313903808597
 42   -311.21068    -48.86613 16.454410552978516
 43   -301.39256    -31.57085 16.38387107849121
 44   -310.15622    -19.99033 17.64583969116211
 45   -278.71951    -44.12299 15.207834243774414
 46   -277.21260    -30.16773 18.580324172973636
 47   -278.57673    -40.55775 16.555927276611328
 48   -278.72777    -24.64334 17.9652156829834
 49   -264.66414      2.92423 17.59840965270996
 50   -264.48807     -3.82685 17.729185104370117
 51   -258.98993      8.67172 17.885623931884766
 52   -266.93097     29.76775 17.9493350982666
 53   -271.65503     30.38007 18.405712127685547
 54   -284.82737     49.07866 18.09971809387207
 55   -295.19637     29.22331 16.048046112060547
 56   -293.43392     25.55018 14.326568603515623
 57   -292.63208     21.09317 13.106757164001465
 58   -266.50733      6.39738 18.880830764770508
 59   -269.61917    -17.38367 16.72419548034668
 60   -268.45219      3.43983 18.57814216613769
 61   -293.77051     33.55082 18.95712280273437
 62   -291.05193     32.66503 18.82546043395996
 63   -267.54207     26.71808 18.53765296936035
 64   -283.46439     -5.99680 13.71689796447754
 65   -285.92844      8.96734 15.242453575134276
 66   -288.40043     18.06373 11.752808570861816
 67   -270.46684     15.00254 14.906942367553713
 68   -282.45074     40.95534 15.531360626220703
 69   -270.21163    -14.78957 15.351863861083984
 70   -205.27476      3.56784 17.103986740112305
 71   -196.33168      5.70447 18.914424896240234
 72   -209.98807     11.82598 17.777315139770508
 73   -212.96841    -18.70169 16.250215530395508
 74   -237.42754      6.80640 18.827075958251957
 75   -228.72236     39.78072 18.83173179626465
 76   -222.13869     35.13483 17.90275764465332
 77   -208.29273    -25.17617 17.60429573059082
 78   -244.25687     13.73408 18.79210090637207
 79   -234.07186      6.97647 18.881322860717773
