ra,dec,u
155.16846,-59.65642,19.814
155.1678,-59.68256,20.189
155.16631,-59.70705,19.419
155.16354,-59.65228,18.332
155.16314,-59.65004,19.109
155.16313,-59.63254,20.212
155.15933,-59.7354,20.763
155.15856,-59.69122,19.603
155.15608,-59.63029,20.652
155.15477,-59.6612,18.716
155.15237,-59.69737,18.244
155.15081,-59.77219,20.153
155.15193,-59.63163,18.977
155.15081,-59.6906,20.447
155.1485,-59.66996,15.85
155.1471,-59.71135,17.831
155.14726,-59.6928,15.749
155.13876,-59.78004,16.86
155.14048,-59.66653,19.117
155.13964,-59.70224,13.75
155.14014,-59.64162,20.03
155.13666,-59.68311,14.196
155.13373,-59.69508,19.828
155.13007,-59.72086,20.57
155.12675,-59.70297,20.65
155.12638,-59.72134,20.74
155.12724,-59.66275,18.191
155.1261,-59.68499,15.214
155.12123,-59.71823,19.45
155.1181,-59.6728,16.33
155.11513,-59.77005,16.33
155.11635,-59.69992,16.858
155.1165,-59.67904,19.834
155.11502,-59.70664,19.85
155.11315,-59.65257,18.24
155.10785,-59.80284,20.38
155.10511,-59.77873,15.94
155.10646,-59.64063,20.594
155.1048,-59.67823,20.079
155.10292,-59.7132,18.42
155.10027,-59.66524,19.835
155.09693,-59.75942,19.46
155.09843,-59.67677,17.265
155.09757,-59.68964,20.49
155.09634,-59.74185,20.51
155.0972,-59.67284,20.745
155.09576,-59.67999,20.14
155.09258,-59.76593,18.02
155.08898,-59.8039,19.84
155.09133,-59.6477,19.881
155.08748,-59.71857,16.58
155.08729,-59.67821,17.12
155.08102,-59.75749,19.21
155.08097,-59.65578,19.272
155.07939,-59.71682,18.19
155.07856,-59.75689,20.67
155.0802,-59.65414,17.966
155.07983,-59.63122,20.681
155.07779,-59.68887,20.227
155.07503,-59.64778,18.166
155.07231,-59.69758,16.28
155.06908,-59.72893,20.27
155.06808,-59.65709,20.516
155.06657,-59.69322,19.721
155.06453,-59.78616,18.63
155.06554,-59.70629,18.8
155.06245,-59.72239,17.32
155.0591,-59.75224,20.57
155.05885,-59.71691,16.44
155.05879,-59.71901,16.59
155.05591,-59.70383,18.35
155.05621,-59.66919,20.288
155.05463,-59.7446,17.12
155.05575,-59.68662,17.3
155.04874,-59.70093,19.71
155.04595,-59.64515,17.934
155.04158,-59.7558,20.42
155.04046,-59.75329,17.78
155.0412,-59.70607,15.88
155.0405,-59.70349,20.12
155.03712,-59.78166,18.56
155.03896,-59.6663,18.394
155.03884,-59.6703,17.691
155.03215,-59.74609,17.47
155.03125,-59.72668,19
155.03014,-59.64969,17.736
155.02685,-59.7807,18.93
155.02685,-59.69769,20.042
155.02446,-59.77207,20.25
155.02508,-59.74129,20.86
155.0222,-59.71951,20.36
155.01764,-59.77982,15.26
155.01727,-59.76438,19.89
155.01477,-59.6951,20.41
155.01257,-59.7729,20.32
155.00948,-59.69602,19.891
155.00767,-59.69451,18.92
155.00505,-59.73536,19.43
155.002,-59.75983,19.84
155.00344,-59.67903,20.553
155.00188,-59.74421,20.33
155.00005,-59.70178,19.91
154.99936,-59.7047,19.85
154.99966,-59.67758,19.781
154.99922,-59.68979,20.015
154.99656,-59.72485,16.68
154.99112,-59.72374,19.32
154.98871,-59.75696,16.67
154.9881,-59.71575,20.16
