SOURCE_ID,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,ruwe,nu_eff_used_in_astrometry,pseudocolour,ecl_lat,astrometric_excess_noise,astrometric_excess_noise_sig,visibility_periods_used,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,phot_bp_rp_excess_factor,phot_g_mean_flux,duplicated_source,l,b
5255027559112071936,155.00821838548222,0.020466674119234085,-59.79875387143127,0.020949028432369232,0.38970631830784425,0.024425342679023743,15.954998970031738,1.0011992454528809,1.5663915872573853,,-61.34049305692434,0.0,0.0,28,15.397141456604004,15.697881698608398,14.926401138305664,0.7714805603027344,1.1991541385650635,13064.422989295406,False,284.937401053698,-2.3259728187759188
5255027559112072320,155.01357593913946,0.06170467287302017,-59.801382865813,0.05898088216781616,0.1939337200337278,0.06933964043855667,2.7968666553497314,1.0722705125808716,1.4513158798217773,,-61.34020085114674,0.1858144998550415,0.8159890174865723,29,17.464614868164062,18.055212020874023,16.70621681213379,1.3489952087402344,1.2673425674438477,1945.8104989388721,False,284.94109777997414,-2.3267015865728604
5255027559112072448,155.02500125815038,0.014035646803677082,-59.807088603336666,0.014048820361495018,0.317800004473414,0.016327496618032455,19.46409797668457,1.0044875144958496,1.3608430624008179,,-61.33964318622101,0.0,0.0,29,14.449191093444824,15.364035606384277,13.49532413482666,1.8687114715576172,1.3256186246871948,31280.254184057798,False,284.9490347676157,-2.328340202865298
5255027559112072704,155.01696657557184,0.041461873799562454,-59.8027226546332,0.04166469722986221,0.429801665343602,0.04916271194815636,8.742431640625,1.056383490562439,1.4924113750457764,,-61.33980226021823,0.10979512333869934,0.5842896699905396,27,16.808034896850586,17.29348373413086,16.15513801574707,1.138345718383789,1.2317742109298706,3562.3172853495034,False,284.94325999808916,-2.32689164469811
5255027760948209536,154.9870846189121,0.10166376084089279,-59.79429858958098,0.1013580933213234,0.4180107104446228,0.12076901644468307,3.4612414836883545,1.1979187726974487,,1.4891242980957031,-61.34554712574015,0.6122724413871765,3.63420033454895,29,18.20166015625,18.74214744567871,17.280729293823242,1.4614181518554688,1.4239027500152588,986.9211638597674,False,284.92605364612484,-2.3280545521836515
5255027760951747072,154.98413826403367,0.16137591004371643,-59.7871597655883,0.14768041670322418,0.63622202862112,0.18625180423259735,3.415924072265625,0.9778019189834595,,1.2962805032730103,-61.34195313456575,0.0,0.0,27,18.976036071777344,20.02383041381836,17.94009017944336,2.083740234375,1.3692073822021484,483.650890389435,False,284.9209044391767,-2.322888325529691
5255027765270489728,154.98106528084762,0.07121797651052475,-59.79147867041318,0.07209573686122894,0.4815947453853704,0.08557400852441788,5.6278157234191895,1.0706216096878052,1.4680300951004028,,-61.34596394905156,0.257172554731369,1.0328752994537354,29,17.786605834960938,18.33370018005371,17.090410232543945,1.2432899475097656,1.2374235391616821,1446.4522442256782,False,284.92197265392707,-2.32734979116379
5255027765270496896,154.98630343255525,0.019532280042767525,-59.791014700207135,0.020487913861870766,0.1641519836023474,0.023806132376194,6.895365238189697,1.027287244796753,1.2909032106399536,,-61.343676821212775,0.0,0.0,29,15.205635070800781,16.516828536987305,14.08521556854248,2.431612968444824,1.3981192111968994,15584.488543507365,False,284.9239271133185,-2.3255200461356282
5255027765270498560,154.98898590643515,0.02291548065841198,-59.79190266287379,0.023762769997119904,0.4505002703229901,0.02775435894727707,16.2316951751709,1.087283730506897,1.5390516519546509,,-61.343247937131174,0.09691551327705383,1.5127207040786743,28,15.53967571258545,15.886322975158691,14.967424392700195,0.9188985824584961,1.2400377988815308,11457.146770096488,False,284.92554402340915,-2.325525475398671
5255027829666052864,154.96248787808184,0.04996450990438461,-59.78417717010891,0.04972318559885025,0.4522995826130867,0.060954660177230835,7.420262336730957,0.8809080123901367,1.487608790397644,,-61.34817501166255,0.0,0.0,28,17.138763427734375,17.63451385498047,16.497661590576172,1.1368522644042969,1.2190943956375122,2626.888847992759,False,284.9101432761319,-2.326351036743714
