 1   -214.02739   -346.93084 15.697881698608398
 2   -204.30908   -356.37833 18.055212020874023
 3   -183.58874   -376.88561 15.364035606384276
 4   -198.16137   -361.19129 17.29348373413086
 5   -252.33306   -330.96613 18.74214744567871
 6   -257.72455   -305.27768 20.02383041381836
 7   -263.25742   -320.83782 18.33370018005371
 8   -253.77290   -319.14710 16.516828536987305
 9   -248.90735   -322.33360 15.886322975158691
 10   -296.97225   -294.63090 17.63451385498047
 11   -311.45565   -260.27389 18.14181137084961
 12   -297.41811   -268.18108 18.075172424316406
 13   -299.39539   -289.72002 19.42917823791504
 14   -311.01399   -272.21709 19.51974296569824
 15   -272.32500   -303.64075 19.03787040710449
 16   -278.09467   -293.81677 17.103759765625
 17   -286.96880   -277.82657 19.46917724609375
 18   -332.18233   -241.40684 18.95423126220703
 19   -338.10074   -245.68040 19.78575134277344
 20   -338.44462   -238.79590 18.97638702392578
 21   -334.05714   -242.06858 19.450489044189453
 22   -325.20399   -259.11656 20.0875244140625
 23    132.76369   -389.96090 16.6357364654541
 24    167.53777   -378.26346 16.757240295410156
 25    155.11630   -378.33668 18.64705848693848
 26    152.60524   -351.44523 18.73992919921875
 27    150.96861   -368.49017 17.30710792541504
 28    154.25446   -362.30738 18.08327865600586
 29    157.70506   -359.54721 18.40888214111328
 30    165.19957   -390.74309 18.804840087890625
 31    165.81395   -381.74923 18.8048152923584
 32    187.03741   -375.81355 19.001543045043945
 33    153.11267   -343.57535 18.644695281982425
 34    155.16752   -366.30039 17.122779846191406
 35    162.92972   -363.13830 17.6568660736084
 36    220.51566   -344.31931 20.25848388671875
 37    202.56147   -370.66801 18.804079055786133
 38    217.45320   -360.01827 19.7212028503418
 39    227.71277   -358.35039 19.892963409423828
 40    234.62072   -358.40201 15.559418678283691
 41    235.79371   -300.36397 19.771759033203125
 42    236.86089   -307.71546 19.01273536682129
 43    226.29850   -345.06134 18.81846237182617
 44    218.37349   -319.69709 19.681230545043945
 45    195.63403   -278.93322 19.455915451049805
 46    229.12150   -342.88951 16.324731826782227
 47    217.72641   -331.09569 16.873279571533203
 48    224.32853   -337.33027 15.959012031555176
 49    262.53734   -341.84500 18.07948875427246
 50    250.66555   -325.63541 16.0032901763916
 51    163.96852   -311.89516 17.19472885131836
 52    196.37902   -338.57078 18.522937774658203
 53    173.54406   -306.63499 19.053577423095703
 54    197.93871   -375.26967 19.218896865844727
 55    155.17723   -339.26729 14.78859043121338
 56    176.31091   -359.00328 19.868371963500977
 57    192.35499   -359.92753 18.43232536315918
 58    186.54155   -353.12636 18.248441696166992
 59    184.54469   -272.45580 17.590656280517578
 60    188.21421   -293.92139 18.283315658569336
 61    212.86171   -278.26246 19.10752487182617
 62    205.67483   -276.37518 18.918800354003903
 63    189.94280   -300.53972 17.36189842224121
 64    196.91282   -307.53386 19.344785690307617
 65    192.04609   -294.74787 17.804811477661133
 66    197.28910   -281.76901 19.46780204772949
 67    186.18363   -282.83860 18.233362197875977
 68    220.20221   -297.89745 18.85262489318848
 69    198.27871   -269.45077 17.674489974975586
 70    288.96044   -316.32641 21.2761173248291
 71    321.82724   -277.55714 14.889301300048828
 72    304.09745   -288.39616 18.899730682373047
 73    305.98270   -303.15502 18.83877944946289
 74    309.19433   -292.02758 19.348827362060547
