# gaia
5309198602908747776.000000	145.958788	0.082720	-54.139326	0.084538	0.322736	0.095284	3.387100	1.029419	1.422282	nan	-60.928282	0.000000	0.000000	26.000000	18.067581	18.783112	17.256748	1.526363	1.263465	1116.643698	0.000000	277.604931	-0.762961	1.000000
5309198602908171264.000000	145.960907	0.094661	-54.141124	0.097531	0.263986	0.109377	2.413541	1.045674	nan	1.374094	-60.928760	0.297387	0.823793	26.000000	18.233160	19.089861	17.257614	1.832247	1.363235	958.699499	0.000000	277.607044	-0.763521	2.000000
5309198602908747776.000000	145.965749	0.126837	-54.139457	0.125893	0.064643	0.144160	0.448414	1.011313	1.421753	nan	-60.925612	0.000000	0.000000	25.000000	18.692368	19.426849	17.925753	1.501097	1.221524	628.057975	0.000000	277.608116	-0.760411	3.000000
5309198602908747776.000000	145.960875	0.165742	-54.136537	0.158051	0.382424	0.183692	2.081879	1.059646	nan	1.422193	-60.925403	0.684348	1.580758	27.000000	18.966375	19.742834	18.128950	1.613884	1.265015	487.973514	0.000000	277.604048	-0.760047	4.000000
5309198602908748800.000000	145.953532	0.082501	-54.135588	0.080785	0.039058	0.090949	0.429448	1.064105	1.295334	nan	-60.927624	0.378111	1.963998	27.000000	17.857218	19.123318	16.719728	2.403589	1.426030	1355.376042	0.000000	277.600161	-0.762122	5.000000
5309198607199704064.000000	145.958762	0.076990	-54.142375	0.075453	0.195865	0.085503	2.290740	1.119713	nan	1.463742	-60.930532	0.360745	2.059685	28.000000	17.820459	18.199640	16.825878	1.373762	1.563512	1402.048423	0.000000	277.606901	-0.765288	6.000000
5309198607199705088.000000	145.961804	0.113368	-54.142314	0.116713	-0.073479	0.131138	-0.560319	1.046591	nan	1.423594	-60.929278	0.000000	0.000000	26.000000	18.553715	19.080929	17.410494	1.670435	1.652680	713.610133	0.000000	277.608216	-0.764084	7.000000
5309198607199708160.000000	145.960228	0.153142	-54.140576	0.148851	0.029138	0.172726	0.168694	1.098289	1.400182	nan	-60.928628	0.720324	1.993770	28.000000	18.902840	19.606895	18.088305	1.518591	1.270484	517.381849	0.000000	277.606385	-0.763363	8.000000
5309198607221723136.000000	145.955292	0.095909	-54.141005	0.095908	0.288271	0.111006	2.596898	1.010399	1.435599	nan	-60.930904	0.000000	0.000000	26.000000	18.294313	18.962761	17.505909	1.456852	1.261933	906.194162	0.000000	277.604466	-0.765568	9.000000
5309198607221724160.000000	145.944579	0.091504	-54.132656	0.090889	0.006669	0.102085	0.065331	1.118229	1.296030	nan	-60.929027	0.301006	1.050620	25.000000	17.951437	19.155445	16.807320	2.348125	1.446679	1242.715193	0.000000	277.594269	-0.763303	10.000000
5309198710278950912.000000	145.937645	0.408286	-54.114672	0.444115	0.755047	0.470135	1.606022	4.866895	nan	1.492457	-60.918565	4.678893	144.540833	25.000000	18.606060	19.337587	17.129530	2.208057	2.009632	680.021534	0.000000	277.579489	-0.752280	11.000000
5309198607221726208.000000	145.957628	0.020092	-54.132265	0.018722	0.664275	0.022050	30.125223	0.951418	1.544450	nan	-60.923554	0.000000	0.000000	27.000000	15.335711	15.688629	14.815516	0.873113	1.203621	13824.921660	0.000000	277.599825	-0.758036	12.000000
5309198607221726208.000000	145.968625	0.064317	-54.137168	0.061151	0.413059	0.069941	5.905826	1.010514	1.452546	nan	-60.922787	0.000000	0.000000	27.000000	17.613073	18.207075	16.912924	1.294151	1.221812	1697.138776	0.000000	277.607909	-0.757576	13.000000
5309198607221727232.000000	145.956419	0.059339	-54.129627	0.057134	0.094860	0.065480	1.448691	1.041340	1.445853	nan	-60.922096	0.182826	0.860537	27.000000	17.359758	17.974880	16.600908	1.373972	1.258292	2143.104432	0.000000	277.597573	-0.756492	14.000000
5309198607226406912.000000	145.949612	0.152670	-54.137181	0.160056	0.266522	0.180544	1.476213	1.093813	nan	1.360171	-60.930352	0.734302	2.114440	26.000000	18.902792	19.674627	18.068998	1.605629	1.263490	517.403765	0.000000	277.599452	-0.764825	15.000000
5309198637268487168.000000	145.973433	0.125335	-54.131346	0.122724	0.059052	0.141577	0.417101	0.926177	1.259552	nan	-60.916598	0.000000	0.000000	25.000000	18.621944	20.211140	17.451502	2.759638	1.404853	670.145585	0.000000	277.606268	-0.751320	16.000000
5309198637268488192.000000	145.962740	0.053948	-54.128813	0.050013	0.329646	0.059390	5.550534	1.029417	1.435983	nan	-60.918986	0.178423	1.030331	26.000000	17.172583	17.812576	16.408791	1.403786	1.252835	2546.322616	0.000000	277.599858	-0.753466	17.000000
5309198637268489216.000000	145.975877	0.077508	-54.125478	0.074828	0.488721	0.084416	5.789420	0.949601	1.435094	nan	-60.911314	0.000000	0.000000	27.000000	17.837654	18.480886	17.061998	1.418888	1.260981	1380.019259	0.000000	277.603543	-0.745929	18.000000
5309198637268489216.000000	145.973350	0.039292	-54.123004	0.037304	0.224901	0.043552	5.163952	1.046261	1.446690	nan	-60.910500	0.054896	0.166779	27.000000	16.691748	17.299665	15.944123	1.355542	1.252323	3965.039413	0.000000	277.600810	-0.745010	19.000000
5309198637268489216.000000	145.967612	0.101499	-54.123378	0.098835	0.278063	0.114145	2.436059	1.067855	nan	1.404921	-60.913055	0.476129	2.072411	25.000000	18.199226	18.813200	17.313908	1.499292	1.363332	989.136212	0.000000	277.598497	-0.747480	20.000000
5309198637268489216.000000	145.975523	0.112783	-54.121892	0.112320	0.239573	0.130374	1.837586	0.969701	1.381813	nan	-60.908819	0.000000	0.000000	25.000000	18.505138	19.332582	17.639223	1.693359	1.272945	746.261766	0.000000	277.601056	-0.743337	21.000000
