source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,ruwe,nu_eff_used_in_astrometry,pseudocolour,ecl_lat,astrometric_excess_noise,astrometric_excess_noise_sig,visibility_periods_used,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,phot_bp_rp_excess_factor,phot_g_mean_flux,duplicated_source,l,b
5309198602908747392,145.9587877183565,0.08271993696689606,-54.13932603366081,0.08453848212957382,0.32273642626282023,0.09528400003910065,3.3870999813079834,1.029418706893921,1.4222819805145264,,-60.928281503469265,0.0,0.0,26,18.067581176757812,18.783111572265625,17.25674819946289,1.5263633728027344,1.2634646892547607,1116.6436979937723,False,277.60493130708505,-0.7629613451245782
5309198602908171008,145.96090713363552,0.09466122835874557,-54.141124016255624,0.09753100574016571,0.2639856836164538,0.1093769371509552,2.4135406017303467,1.045674443244934,,1.3740935325622559,-60.92876030464658,0.29738715291023254,0.8237929344177246,26,18.2331600189209,19.089860916137695,17.257614135742188,1.8322467803955078,1.363235354423523,958.6994986898047,False,277.6070436064415,-0.7635209861377598
5309198602908747264,145.96574890510323,0.12683726847171783,-54.1394574891058,0.12589335441589355,0.06464349048830619,0.14416024088859558,0.4484141170978546,1.0113130807876587,1.4217534065246582,,-60.925611808767094,0.0,0.0,25,18.692367553710938,19.426849365234375,17.925752639770508,1.5010967254638672,1.2215243577957153,628.0579750228031,False,277.60811648115225,-0.7604111340475345
5309198602908747776,145.96087469148102,0.1657423973083496,-54.13653711406237,0.15805120766162872,0.38242378659426696,0.18369163572788239,2.081879138946533,1.0596458911895752,,1.4221925735473633,-60.92540297600338,0.6843475103378296,1.580757737159729,27,18.96637535095215,19.742834091186523,18.128950119018555,1.6138839721679688,1.2650154829025269,487.9735141383528,False,277.60404796915003,-0.7600471156156561
5309198602908748672,145.9535316631819,0.0825008973479271,-54.13558790295065,0.0807846263051033,0.039057963503684644,0.0909491777420044,0.4294482171535492,1.0641050338745117,1.2953338623046875,,-60.92762354750466,0.3781111240386963,1.9639980792999268,27,17.85721778869629,19.12331771850586,16.719728469848633,2.4035892486572266,1.4260296821594238,1355.3760422073085,False,277.6001611729587,-0.7621216570368319
5309198607199703680,145.95876201190885,0.07699030637741089,-54.142374679869384,0.0754532441496849,0.19586529100800645,0.08550307899713516,2.2907397747039795,1.1197125911712646,,1.4637421369552612,-60.930531616189405,0.3607446551322937,2.059684991836548,28,17.820459365844727,18.19964027404785,16.825878143310547,1.3737621307373047,1.5635117292404175,1402.0484230187703,False,277.60690135562743,-0.7652881604306443
5309198607199705216,145.96180401337915,0.11336769163608551,-54.14231376273513,0.11671311408281326,-0.07347940233085744,0.13113844394683838,-0.5603193044662476,1.04659104347229,,1.423594355583191,-60.92927801292598,0.0,0.0,26,18.553714752197266,19.080928802490234,17.410493850708008,1.6704349517822266,1.6526800394058228,713.6101332080506,False,277.6082162036896,-0.7640838156232397
5309198607199707904,145.96022829930146,0.1531418114900589,-54.140576123344346,0.14885076880455017,0.02913780644906662,0.1727255880832672,0.16869419813156128,1.098288893699646,1.4001823663711548,,-60.92862751643813,0.7203240394592285,1.993769645690918,28,18.90283966064453,19.606895446777344,18.08830451965332,1.5185909271240234,1.2704839706420898,517.3818491007983,False,277.60638524858905,-0.7633629986489601
5309198607221723520,145.95529161522037,0.09590868651866913,-54.14100486661964,0.09590771794319153,0.28827125820955357,0.1110059842467308,2.596898317337036,1.0103994607925415,1.4355993270874023,,-60.930904296174496,0.0,0.0,26,18.294313430786133,18.96276092529297,17.505908966064453,1.4568519592285156,1.2619330883026123,906.1941623476075,False,277.60446586084987,-0.7655683194960966
5309198607221724544,145.9445786045825,0.09150366485118866,-54.13265577722017,0.09088920801877975,0.006669252939709181,0.1020846739411354,0.06533060222864151,1.1182286739349365,1.2960296869277954,,-60.92902686253327,0.3010060489177704,1.0506197214126587,25,17.95143699645996,19.155445098876953,16.80731964111328,2.348125457763672,1.4466792345046997,1242.7151931305634,False,277.5942685357775,-0.7633030439931515
5309198710278951040,145.93764498231826,0.4082862436771393,-54.11467217096686,0.44411489367485046,0.7550467241022405,0.4701346755027771,1.6060221195220947,4.8668951988220215,,1.4924565553665161,-60.91856505612122,4.678892612457275,144.54083251953125,25,18.606060028076172,19.337587356567383,17.12952995300293,2.208057403564453,2.009632110595703,680.0215337609766,False,277.57948873999896,-0.7522795749649487
5309198607221726080,145.957627636321,0.020092396065592766,-54.13226460186869,0.018721824511885643,0.664274705507817,0.02205044776201248,30.12522315979004,0.9514175057411194,1.5444504022598267,,-60.92355382752876,0.0,0.0,27,15.335710525512695,15.688629150390625,14.815516471862793,0.873112678527832,1.2036207914352417,13824.921660144737,False,277.5998250412128,-0.758036267546038
5309198607221726464,145.96862462634428,0.06431663036346436,-54.13716820920276,0.06115099415183067,0.4130586656397879,0.06994088739156723,5.905825614929199,1.0105139017105103,1.4525461196899414,,-60.92278697008807,0.0,0.0,27,17.613073348999023,18.207075119018555,16.91292381286621,1.2941513061523438,1.2218117713928223,1697.1387759178208,False,277.60790938627355,-0.7575763348339907
5309198607221726848,145.95641917226112,0.059338800609111786,-54.129627230455334,0.05713360384106636,0.09486005768229491,0.06547985970973969,1.4486905336380005,1.0413402318954468,1.4458534717559814,,-60.92209595938142,0.18282580375671387,0.860537052154541,27,17.359758377075195,17.97488021850586,16.600908279418945,1.373971939086914,1.2582921981811523,2143.1044323168558,False,277.5975726234781,-0.7564920501568788
