ra,dec,u
146.21884,-54.11015,20.339
146.21647,-54.13898,17.605
146.21302,-54.17612,18.212
146.21342,-54.12507,19.506
146.21219,-54.16906,20.459
146.21058,-54.13378,20.633
146.20921,-54.07972,19.575
146.20853,-54.09911,20.488
146.20588,-54.12746,18.272
146.20452,-54.16447,18.013
146.20367,-54.14087,15.997
146.20126,-54.12414,18.174
146.20128,-54.12149,20.015
146.20064,-54.12624,19.231
146.19828,-54.18419,20.179
146.19852,-54.08051,16.771
146.19702,-54.17048,20.465
146.19688,-54.15362,16.054
146.1968,-54.08359,20.546
146.1947,-54.18473,19.501
146.19465,-54.136,17.102
146.19306,-54.18026,19.927
146.19269,-54.12809,17.962
146.19021,-54.18489,19.472
146.18731,-54.07097,19.605
146.1844,-54.16629,16.136
146.18432,-54.14348,20.578
146.18451,-54.09355,20.39
146.18443,-54.09716,13.449
146.18307,-54.1775,19.88
146.18269,-54.19555,19.703
146.18242,-54.12922,20.253
146.1813,-54.16403,18.88
146.18147,-54.06363,20.645
146.17924,-54.10503,18.404
146.17782,-54.19265,17.605
146.17674,-54.1968,18.9
146.17725,-54.12077,19.817
146.1774,-54.0807,19.789
146.17538,-54.19209,19.914
146.17139,-54.13123,19.147
146.17047,-54.17651,16.984
146.16895,-54.13483,19.111
146.16973,-54.0739,20.171
146.16698,-54.15714,20.517
146.16549,-54.19737,18.854
146.16628,-54.13645,18.514
146.16525,-54.20706,19.774
146.16603,-54.12128,18.993
146.16607,-54.10596,18.791
146.16393,-54.14633,20.35
146.16173,-54.06742,20.723
146.15831,-54.16963,16.483
146.15684,-54.08584,19.117
146.15425,-54.17814,20.423
146.15315,-54.20074,20.085
146.15388,-54.06449,19.359
146.15154,-54.20197,20.056
146.15267,-54.05468,18.629
146.15135,-54.1218,19.508
146.14826,-54.21261,19.87
146.14894,-54.13209,18.194
146.14841,-54.16692,18.924
146.14937,-54.09322,17.341
146.14853,-54.14349,18.852
146.14794,-54.06818,20.415
146.14551,-54.11409,18.901
146.14425,-54.13564,20.537
146.1436,-54.13881,20.491
146.14362,-54.12593,20.136
146.14155,-54.17693,20.28
146.14169,-54.14225,19.271
146.141,-54.12205,18.827
146.13951,-54.15914,19.844
146.13943,-54.13907,19.735
146.1356,-54.20184,18.279
146.13699,-54.09751,19.147
146.13711,-54.07389,19.321
146.13583,-54.14099,19.539
146.13352,-54.05942,19.192
146.1331,-54.06264,18.016
146.13175,-54.1359,20.032
146.1322,-54.0912,20.413
146.12965,-54.21522,14.668
146.13102,-54.08752,20.543
146.1279,-54.21296,19.874
146.12671,-54.08585,20.574
146.12639,-54.07449,19.969
146.12473,-54.17019,19.803
146.12541,-54.10562,19.17
146.12384,-54.20314,20.538
146.12259,-54.19906,13.519
146.12237,-54.20353,20.477
146.12192,-54.18872,18.435
146.12153,-54.11932,18.91
146.11951,-54.19502,16.769
146.11907,-54.21354,15.613
146.12122,-54.05572,18.847
146.11972,-54.15767,20.536
146.11905,-54.13041,17.281
146.11775,-54.14097,19.967
146.1172,-54.10551,20.858
146.11598,-54.08149,14.778
146.11503,-54.11063,20.561
146.11426,-54.08384,19.694
146.11392,-54.09127,19.806
146.11081,-54.18208,16.796
146.11156,-54.12933,19.617
146.11067,-54.15149,17.607
146.11063,-54.14215,18.397
146.11014,-54.09439,18.005
146.10945,-54.12039,20.667
146.10841,-54.19174,20.27
146.10935,-54.12243,17.088
146.10913,-54.11477,19.056
146.10781,-54.18082,19.608
146.10756,-54.19059,20.115
146.10812,-54.06722,20.404
146.10609,-54.17075,19.186
146.10533,-54.21578,20.529
